SpTy,g,r,i,z,y,J,H,K,W1,W2
B2,-1.832,-1.543,-1.175,-1.008,999.99,-1.24,-1.127,-1.1,-1.136,999.99
B3,-1.212,-0.953,-0.607,-0.441,999.99,-0.73,-0.632,-0.61,-0.646,999.99
B4,-1.104,-0.858,-0.52,-0.355,999.99,-0.66,-0.568,-0.55,-0.586,999.99
B5,-0.999,-0.761,-0.429,-0.264,999.99,-0.59,-0.501,-0.48,-0.516,-0.471
B6,-0.588,-0.367,-0.047,0.118,999.99,-0.23,-0.149,-0.14,-0.175,-0.13
B7,-0.481,-0.269,0.043,0.208,999.99,-0.16,-0.083,-0.08,-0.115,-0.07
B8,-0.269,-0.077,0.222,0.385,999.99,-0.01,0.057,0.05,0.016,0.062
B9,0.656,0.809,1.082,1.239,999.99,0.79,0.84,0.82,0.788,0.851
A0,1.11,1.197,1.436,1.582,999.99,1.07,1.102,1.07,1.04,1.081
A1,1.367,1.414,1.631,1.78,999.99,1.25,1.274,1.24,1.21,1.246
A2,1.527,1.537,1.73,1.857,999.99,1.32,1.33,1.29,1.261,1.295
A3,1.607,1.601,1.785,1.908,999.99,1.35,1.352,1.32,1.291,1.324
A4,1.848,1.791,1.946,2.053,999.99,1.47,1.448,1.41,1.381,1.412
A5,1.941,1.863,2.007,2.108,999.99,1.51,1.479,1.44,1.411,1.441
A6,1.997,1.909,2.047,2.146,999.99,1.54,1.504,1.46,1.431,1.461
A7,2.202,2.072,2.188,2.273,999.99,1.64,1.585,1.54,1.511,1.541
A8,2.448,2.275,2.368,2.44,999.99,1.78,1.705,1.66,1.632,1.66
A9,2.461,2.283,2.372,2.443,999.99,1.78,1.702,1.66,1.632,1.66
F0,2.695,2.476,2.543,2.599,999.99,1.9,1.802,1.76,1.732,1.758
F1,3,2.739,2.782,2.824,999.99,2.13,2.011,1.96,1.932,1.958
F2,3.226,2.922,2.941,2.97,999.99,2.26,2.12,2.07,2.042,2.069
F3,3.325,3.005,3.016,3.04,999.99,2.32,2.173,2.12,2.092,2.12
F4,3.49,3.145,3.142,3.157,999.99,2.42,2.261,2.21,2.182,2.211
F5,3.676,3.303,3.286,3.29,999.99,2.55,2.377,2.32,2.292,2.322
F6,4.005,3.586,3.544,3.535,999.99,2.78,2.581,2.52,2.492,2.525
F7,4.191,3.745,3.691,3.672,999.99,2.9,2.687,2.63,2.603,2.639
F8,4.344,3.878,3.814,3.789,999.99,3.01,2.785,2.72,2.693,2.732
F9,4.498,4.009,3.935,3.901,999.99,3.11,2.873,2.81,2.783,2.824
G0,4.825,4.292,4.196,4.145,999.99,3.34,3.078,3.01,2.983,3.026
G1,4.881,4.339,4.239,4.186,999.99,3.38,3.113,3.04,3.013,3.057
G2,5.2,4.612,4.492,4.423,999.99,3.57,3.277,3.2,3.172,3.222
G3,5.276,4.678,4.554,4.481,999.99,3.64,3.341,3.27,3.242,3.292
G4,5.365,4.754,4.625,4.547,999.99,3.7,3.393,3.32,3.292,3.344
G5,5.408,4.792,4.66,4.58,999.99,3.74,3.43,3.35,3.322,3.374
G6,5.574,4.934,4.792,4.705,999.99,3.84,3.516,3.44,3.412,3.465
G7,5.629,4.98,4.835,4.743,999.99,3.88,3.551,3.47,3.442,3.496
G8,5.784,5.112,4.957,4.858,999.99,3.97,3.628,3.55,3.522,3.579
G9,6.04,5.328,5.157,5.044,999.99,4.14,3.775,3.69,3.661,3.721
K0,6.274,5.523,5.337,5.208,999.99,4.29,3.903,3.81,3.78,3.843
K1,6.424,5.643,5.444,5.305,999.99,4.47,4.068,3.97,3.94,4.004
K2,6.753,5.921,5.699,5.536,999.99,4.57,4.138,4.04,4.009,4.077
K3,7.194,6.259,5.993,5.784,999.99,4.76,4.27,4.16,4.126,4.197
K4,7.733,6.659,6.314,6.031,999.99,4.98,4.436,4.31,4.271,4.344
K5,8.085,6.946,6.562,6.247,999.99,5.18,4.612,4.48,4.438,4.511
K6,8.581,7.332,6.872,6.515,999.99,5.41,4.809,4.66,4.611,999.99
K7,9.088,7.737,7.198,6.824,999.99,5.65,5.028,4.86,4.8,999.99
K8,9.324,7.94,7.362,6.991,999.99,5.78,5.157,4.98,4.899,999.99
K9,9.561,8.143,7.526,7.157,999.99,5.92,5.295,5.11,5.009,999.99
M0,9.797,8.346,7.69,7.324,999.99,6.04,5.414,5.22,5.098,999.99
M1,10.619,9.099,8.261,7.966,999.99,6.51,5.897,5.67,5.533,999.99
M2,11.245,9.7,8.745,8.5,999.99,6.89,6.29,6.06,5.95,999.99
M3,12.113,10.522,9.38,9.199,999.99,7.4,6.821,6.54,6.418,999.99
M4,13.846,12.145,10.691,10.565,999.99,8.39,7.833,7.55,7.411,999.99
M5,15.481,13.597,11.804,11.693,999.99,9.25,8.67,8.36,999.99,999.99
M6,17.88,15.802,13.357,13.099,10.28,999.99,9.675,9.32,999.99,999.99
M7,18.11,16.75,14.18,12.97,12.31,10.77,10.14,9.75,9.52,9.3
M8,19.19,17.73,14.98,13.59,12.8,11.14,10.46,10.02,9.77,9.54
M9,19.95,18.15,15.63,14.19,13.25,11.48,10.77,10.29,9.96,9.7
L0,20.41,18.42,16.05,14.58,13.63,11.81,11.05,10.57,10.27,9.99
L1,20.86,18.75,16.42,14.94,13.97,12.04,11.24,10.72,10.37,10.12
L2,21.24,19.02,16.73,15.31,14.33,12.32,11.41,10.83,10.41,10.14
L3,999.99,19.71,17.52,16.01,15.02,12.89,11.94,11.3,10.78,10.51
L4,999.99,20.46,18.25,16.56,15.56,13.41,12.35,11.77,11.07,10.75
L5,999.99,20.66,18.74,16.94,15.87,13.7,12.65,12.03,11.28,10.98
L6,999.99,21.2,19.26,17.34,16.26,14.17,13.18,12.54,11.84,11.48
L7,999.99,999.99,20.11,18.2,17.14,14.95,13.79,13.08,12.39,12
L8,999.99,22.88,20.44,18.1,17.03,14.9,13.77,13.08,12.22,11.73
L9,999.99,999.99,20.64,18.16,17.03,14.93,13.86,13.27,12.42,11.94
T0,999.99,999.99,20.22,17.99,16.76,14.56,13.63,13.11,12.49,11.94
T1,999.99,999.99,21.03,18.87,17.44,15.25,14.37,14.07,13.44,12.69
T2,999.99,999.99,21.51,18.28,16.79,14.56,13.76,13.49,12.96,12.07
T3,999.99,999.99,999.99,18,16.46,14.19,13.6,13.37,12.71,11.64
T4,999.99,999.99,999.99,18.07,16.37,13.94,13.62,13.56,13.36,11.93
T5,999.99,999.99,22.69,19.2,17.43,14.94,14.75,14.77,14.46,12.69
T6,999.99,999.99,999.99,19.82,18.07,15.53,15.48,15.37,15.08,13.02
T7,999.99,999.99,999.99,21.14,19.33,16.78,16.7,16.7,16.25,14.04
T8,999.99,999.99,999.99,21.52,19.75,17.18,17.09,999.99,16.45,13.77
T9,999.99,999.99,999.99,21.82,20.37,17.75,17.51,999.99,16.7,13.81